"","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"
"Afghanistan","","29","","0","0","","","0","","","","","","","","","","",""
"Albania","6","17","","","20","18","39","21","22","50","824","236","1696","896","2236","3124","1414","1651","1006"
"Algeria","0","0","67","","27","0","0","0","","0","","","","","","","","",""
"Andorra","5","5","2","0","2","1","0","0","0","0","4","3","1","2","1","","4","",""
"Angola","","","","","","","","0","0","","","","","23","","0","","",""
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","",""
"Argentina","4396","74","156","87","3772","4619","5481","5083","5913","12198","11575","11461","10727","11483","","","17970","","24028"
"Armenia","8","1","4","2","2","6","15","38","71","98","133","128","167","504","","1759","987","3431","11380"
"Australia","806","800","633","187","216","195","145","89","164","286","579","","240","106","76","68","113","212","178"
"Azerbaijan","0","0","6","9","76","126","101","125","232","82","129","162","303","508","794","5178","7138","6817","4265"
"Bahamas","0","0","0","0","0","0","0","0","3","0","0","0","","0","","","0","",""
"Bahrain","15","24","36","21","59","29","18","46","16","77","91","22","87","35","35","0","21","167","48"
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","0",""
"Belarus","4","4","3","4","8","61","48","88","172","245","318","446","502","759","2189","7044","10758","19069","23104"
"Belgium","13","153","119","228","4573","2687","15","31","59","46","54","54","70","56","94","","6","",""
"Belize","14","0","0","0","0","2","0","36","0","0","","24","30","","","3","","",""
"Benin","","","","","","","","","","0","0","","","","","","","",""
"Bhutan","259","795","620","206","20","198","262","218","","","","","144","","","","5333","1967","25554"
"Bolivia (Plurinational State of)","9057","0","","586","764","0","1096","1781","3696","10566","","","0","","0","","","680",""
"Bosnia and Herzegovina","113","170","56","","","7881","8209","209","474","54","83","91","93","141","","1485","","3577","1237"
"Botswana","0","0","0","","","","","","","","0","","0","","","0","","",""
"Brazil","","","0","0","0","0","","0","0","","0","","","","","","0","",""
"Brunei Darussalam","0","3","3","3","","14","19","12","1","41","","","25","21","27","","35","33","57"
"Bulgaria","15","19","18","31","25","58","139","317","1111","5582","5299","911","608","91","180","334","1446","2357","15845"
"Burkina Faso","18865","0","17679","0","8090","","0","","","","","","","","","","","",""
"Burundi","","","","","","","0","0","0","0","","","","0","","","","",""
"Cabo Verde","0","","1","1","11","40","198","42","3","13","","","","","","2","","",""
"Cambodia","","","0","0","0","17","","","","","","","","","","","","",""
"Canada","2157","309","65","40","92","54","282","799","214","748","1108","37","83","32","20","197","","88",""
"Central African Republic","","","","","0","","","","","","0","","","0","","","","",""
"Chile","6069","1265","1346","863","821","876","950","891","825","1243","1387","1497","1587","1491","1826","","2262","2352","2253"
"China","252740","175001","182833","187500","327759","479518","454385","298932","299329","310826","252701","273242","291135","226619","","","","",""
"Colombia","17835","10452","6573","7368","7884","9377","15926","10376","9457","5930","2294","2243","2366","1545","1505","1401","1401","",""
"Comoros","64","7","0","","","","","0","109","","0","0","","","","","","",""
"Congo","0","0","","","","0","","0","0","0","0","0","","","0","0","0","",""
"Cook Islands","","","","","","0","0","0","0","0","420","0","0","0","1","0","0","0","0"
"Costa Rica","54","75","","0","0","30","1","17","25","0","0","","46","66","282","","298","419","432"
"C̫te d'Ivoire","","","","","","","","","","","","","","","","","0","",""
"Croatia","15","33","29","","35","95","86","37","56","110","74","66","155","84","72","101","116","152","175"
"Cuba","0","0","0","0","","0","0","1","4","11","267","882","346","279","0","0","0","0","0"
"Cyprus","2","1","2","1","0","3","0","2","5","3","0","0","5","14","","0","","0",""
"Czechia","1407","5734","1616","677","1553","3902","2885","1068","357","403","1297","5172","1803","244","753","748","107","120","117"
"Democratic People's Republic of Korea","0","0","0","0","0","11","66","0","18","67","176","176","187","2050","2710","2710","0","",""
"Denmark","11","15","15","41","60","15","13","32","17","24","11","13","11","8","3","12","15","34",""
"Djibouti","","","","","","","","","","","0","","","","","","","",""
"Dominica","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","",""
"Dominican Republic","1910","1833","2087","1784","498","0","0","4897","0","0","","","","0","10","","","2760",""
"Ecuador","1472","1352","1491","1522","1308","799","733","1331","837","626","11","0","1037","","","","","",""
"Egypt","5891","803","5143","7626","20390","","531","26","33","50","108","251","251","","639","","849","1390",""
"El Salvador","163","0","0","257","274","351","632","369","126","313","329","980","488","501","391","","678","1170","778"
"Equatorial Guinea","","0","0","0","0","","","","","","","","","","","","","",""
"Eritrea","1990","1458","","","0","2350","3825","2410","1585","2071","","1240","2335","1771","1652","1627","1808","2028","654"
"Estonia","6","4","3","10","12","4","8","13","11","14","18","17","29","132","35","36","45","63","409"
"Eswatini","268","1","10730","3","","0","6773","7602","","1058","3013","","0","0","0","0","","","0"
"Ethiopia","","","","","","","","","","","","","","","","","","","2301"
"Fiji","","","","","","","","0","0","0","827","1020","","20","14","14","4","",""
"Finland","10","6","2","","1","","2","4","2","5","6","8","6","1","","7","2","",""
"France","","","","","","","","","","","7998","7500","","13749","13000","","","17400",""
"Gabon","","","","","","","","","","","","","","","","","934","0",""
"Gambia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Georgia","28","46","50","55","52","50","44","101","42","76","85","71","111","132","","713","3067","2646","917"
"Germany","652","741","699","837","","","","","","","","","","","","","","",""
"Ghana","20270","16320","0","0","0","","","3780","","","","1514","","","","","","",""
"Greece","7","4","4","1","0","2","1","2","21","5","23","","33","3","","156","50","32","47"
"Grenada","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","",""
"Guatemala","539","517","","0","0","143","0","9","1","627","2","","1807","2164","973","530","","",""
"Guinea","0","","","","","","","0","0","0","0","0","","","","","0","",""
"Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",""
"Haiti","","","","0","","0","","","0","38","","","594","","","","","",""
"Honduras","115","138","108","136","158","138","143","172","187","219","233","456","408","554","599","909","719","853","950"
"Hungary","1","1","6","2","8","4","5","0","5","14","16","30","72","100","108","98","183","223","186"
"Iceland","8","8","71","0","1","0","0","2","4","0","4","29","84","0","0","","0","0",""
"Iran (Islamic Republic of)","","","","","","","","","","","","","","","","","","10417",""
"Iraq","36367","73939","12957","1295","1809","1482","1944","1862","2265","1876","1612","1865","3243","15256","","","2780","18720","25554"
"Ireland","318","","2016","762","228","170","177","308","3660","1388","150","426","1012","389","39","33","40","","38"
"Israel","353","51","47","140","51","93","301","4923","775","11","7","7","109","34","","7","5","48","25"
"Italy","508","","","","","322","726","530","769","896","877","1208","1536","2058","2942","5077","","37669","40428"
"Jamaica","3","2","0","0","0","0","4","1","0","0","0","2","3","1","4","11","9","10",""
"Japan","77884","159031","81046","46340","40999","71549","137060","179635","104568","65361","","200614","","84672","84672","254711","132877","132659",""
"Jordan","0","168","115","0","135","194","175","162","150","193","202","636","5375","5771","2609","4397","7482","16122","11612"
"Kazakhstan","39","24","25","40","38","67","51","82","131","240","266","326","930","4089","","8379","4833","3236","2877"
"Kenya","","80960","","","","0","0","","","","","","","","0","8831","","30468",""
"Kiribati","0","","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0"
"Kuwait","","","32","76","45","61","62","91","","","","","87","85","","","","76","90"
"Kyrgyzstan","281","318","563","","694","350","300","396","160","436","1193","1126","4752","2864","","715","231","350","1508"
"Lao People's Democratic Republic","0","0","0","0","27","","54","","","","","","","","","","","",""
"Latvia","4","6","21","11","15","41","10","3","1","6","4","6","37","72","","231","6834","1949","41"
"Lebanon","199","486","1496","2","14","12","12","28","135","229","217","68","14","54","28","184","39","23","67"
"Lesotho","0","0","0","0","0","0","0","0","","","","0","","","3244","","","","2972"
"Liberia","","","0","0","0","0","0","","0","","","","0","0","","","","",""
"Libya","","","","","","111","","","746","464","145","107","221","189","","651","515","",""
"Lithuania","45","53","39","45","67","62","64","87","74","82","81","74","101","279","284","226","466","4377",""
"Luxembourg","1","0","0","","5","0","0","0","25","26","0","1","1","0","","","","0",""
"Madagascar","","","2","","5","","12","0","","","","","","","","","","",""
"Malawi","0","0","0","0","0","","","","","","","","","0","","","","",""
"Malaysia","","103","","","","","","","","","","","","","","","","",""
"Maldives","6","0","0","0","17","14","69","50","71","114","341","5349","5410","44","","","","",""
"Mali","","","","","","","","","","0","","","","","","","","",""
"Malta","2","2","4","3","","","0","2","1","7","10","1","9","7","4","11","7","386","98"
"Marshall Islands","","","","","","3","0","1","2","","0","0","0","","6","11","0","0","0"
"Mauritania","","0","0","","","","","","","","","","","","","","","",""
"Mauritius","0","","13","3","14","11","0","2","1","3","2","1","","","","","","0",""
"Mexico","","3646","3399","4143","0","5683","2685","5780","0","7475","7880","8322","8651","8425","10825","","19696","27403",""
"Micronesia (Federated States of)","23","0","0","0","","","","684","0","","0","0","0","0","","","0","","0"
"Monaco","","","","","","","","","","","","","","","5","","","",""
"Mongolia","219","346","241","425","5268","9060","1016","524","1990","560","965","5073","1686","417","450","1659","2795","874","426"
"Montenegro","5","5","","","48","104","57","13","9","15","18","23","","","","","","",""
"Mozambique","0","","0","","","","","","","0","0","","","","","651","","",""
"Myanmar","","","","","","","","","","","","0","0","","","","","",""
"Namibia","0","","0","0","","0","0","0","","0","0","0","","","0","","","",""
"Nauru","","","","","","","0","0","0","0","0","0","0","0","","","0","0","1"
"Nepal","61228","30610","38858","34034","29134","35874","39023","29022","27880","","","","","","","","","",""
"Netherlands","46","71","88","39","204","398","610","562","73","","","","","","","","","",""
"New Zealand","1337","20","13","18","23","26","52","14","21","","75","48","62","45","57","64","50","50","56"
"Nicaragua","2","82","29","44","35","4","1","52","103","108","141","151","219","0","242","261","321","1081",""
"Niger","0","0","","0","0","0","","0","","","","","","","","","","",""
"Nigeria","","","","","","","0","","","","","","","","","","","",""
"Niue","0","","","","0","0","0","1","0","0","0","","0","0","0","0","0","0","0"
"Norway","18","83","181","18","35","30","16","12","12","16","","24","8","7","","5","6","1",""
"Oman","153","112","588","202","163","679","121","575","635","995","73","1127","856","829","1664","2497","3661","10443","12628"
"Palau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0"
"Panama","47","110","132","108","165","134","111","81","154","0","207","205","203","112","112","","482","303",""
"Paraguay","1090","286","178","147","172","247","283","132","83","70","140","234","148","194","544","2263","1002","527","782"
"Peru","","","","0","0","","0","0","0","0","","0","","0","0","0","0","",""
"Philippines","","","5","","","","","","","","","","0","","","","","",""
"Poland","1670","1978","","","2436","2779","","2754","2954","","4147","15115","71945","135179","87336","39978","16724","17548","90214"
"Portugal","171","138","1","4","162","158","134","140","154","140","191","193","4","219","231","298","","6493","3153"
"Qatar","21","20","21","13","289","382","368","151","407","","223","185","140","","96","80","69","65",""
"Republic of Korea","1121","","","","17022","7147","6241","6104","6524","4474","4569","2090","1860","1744","1518","281","1668","3057",""
"Republic of Moldova","78","109","70","51","60","131","143","144","292","29783","1757","296","368","424","","1579","2556","1942","3198"
"Romania","315","644","446","107","98","163","195","286","941","2302","5291","14519","59893","64427","48210","38827","41205","26542","51385"
"Russian Federation","4443","1106","190","267","282","394","406","510","925","1535","1855","2361","3027","4366","9191","11490","20289","40976","70656"
"Rwanda","","1809","","0","","","","","0","","","","0","","0","","","",""
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",""
"Saint Lucia","0","0","0","0","0","0","0","0","0","73","0","0","","0","0","1","4","",""
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","",""
"Samoa","0","","","","","0","0","1","0","","","0","1","0","21","","","",""
"San Marino","0","0","2","","","2","1","2","0","","0","0","1","0","","","","11",""
"Sao Tome and Principe","15","7","0","","","","","","0","0","0","0","0","0","0","6","0","4",""
"Saudi Arabia","47","14","3","19","1172","64","26","610","138","31","32","79","139","349","749","976","941","","2290"
"Serbia","37","40","41","63","64","584","63","40","262","277","80","52","93","334","362","1062","473","1215","932"
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","","4"
"Sierra Leone","","","","","","","","","","","0","","","","","","","",""
"Singapore","524","","","","495","521","501","452","631","801","780","844","1003","1003","877","1090","1399","5981","6384"
"Slovakia","29","203","1707","1559","218","5","2","2","5","5","5","17","10","14","24","11","20","32","44"
"Slovenia","3","0","1","1","1","8","4","5","27","32","22","23","13","22","42","36","43","",""
"Solomon Islands","0","","","","0","0","0","","0","0","0","0","","","","0","0","",""
"South Africa","","","","","","","","","","","","","","","","24","","",""
"South Sudan","0","","0","0","","","","","","","","","","","","","","",""
"Spain","10082","4999","","","13951","9539","4416","2516","2036","3816","10337","6797","2349","","1623","4495","","9391","4200"
"Sri Lanka","252","311","338","383","1274","3558","1129","897","660","778","1153","","","","","","622","901","592"
"Suriname","","13","0","0","0","0","0","0","0","0","","","0","0","","37","","",""
"Sweden","32","22","23","21","44","33","38","24","34","52","46","60","81","30","8","15","22","37",""
"Switzerland","","0","","","","","140","600","900","","","","","","","","9900","","16400"
"Syrian Arab Republic","360","85","","","45","52","95","145","144","561","414","330","441","3676","6198","10724","18651","7780","10836"
"Tajikistan","2532","1790","","","1530","1518","1441","1558","1200","1171","1430","732","547","424","","2915","526","428","1990"
"Thailand","17","23","3121","3704","5907","7431","10077","15885","20383","13861","9299","7838","8791","10767","11069","10853","9039","6527","8104"
"The former Yugoslav republic of Macedonia","32","45","52","","60","97","111","242","10920","5865","284","49","125","69","77","109","87","441","316"
"Timor-Leste","21","0","","0","","0","0","0","0","0","0","","0","0","","","","",""
"Tonga","","0","","","0","0","0","0","0","0","0","8","20","0","0","","0","0","1"
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","","13","0","0","24","20","15","",""
"Turkey","419","544","322","457","597","834","1609","1525","2180","9514","16524","19726","19754","","","","","",""
"Turkmenistan","24","0","14","27","13","","31","61","143","241","562","","472","798","","1661","680","1124","764"
"Tuvalu","","","","","","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"Ukraine","336","439","461","","","799","955","951","","1985","2921","3726","3776","5115","13156","20934","23476","26538","32854"
"United Arab Emirates","","","","354","","377","","396","","477","","","222","248","333","352","423","732","1236"
"United Kingdom of Great Britain and Northern Ireland","2360","974","1008","2958","4718","3178","2716","4527","8670","2625","2569","5691","63525","10055","","544","814","1089",""
"United Republic of Tanzania","","","","","","","","","","71","","","","","","","","",""
"United States of America","","","1308","1223","584","229","386","2612","1991","451","800","6339","","258","197","238","231","323",""
"Uruguay","","938","2087","0","205","113","132","169","256","641","2069","1646","2193","","0","5","18","20","24"
"Uzbekistan","301","268","0","2336","3256","2300","1160","1418","1454","1862","4151","1754","1784","2304","5414","9677","5775","3949","5439"
"Vanuatu","","","","","","","","","","0","","50","","","","0","0","",""
"Venezuela (Bolivarian Republic of)","81","50","156","69","15","0","2740","3353","7509","1007","19118","2935","3095","2842","3158","3601","1788","5851","6578"
"Viet Nam","","","","","","","","","","","","","","","","","","","18008"
"Yemen","","","","","3837","5081","3306","4685","5243","5191","5059","6295","3165","","","","","",""
"Zambia","0","0","","","","","","","0","13728","6082","6548","15874","17472","6654","6882","12989","6213","7396"
"Zimbabwe","18","14","0","","","0","","","0","","","","","","","","","",""
