"","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases"
"Kiribati","0","","","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","3","3","4","2","1","0","0","","0","0","0","0","","","","","","","","",""
"Kuwait","","","","0","0","0","0","0","","","","","0","","","","","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","2","3","1","0","9","9","3","4","4","",""
"Kyrgyzstan","","","","","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","","","","","0","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","17","16","19","","18","11","6","7","8","5","15","8","12","14","17","16","17","21","18","17","12","17","6","10","5","12","20","4","","0","","","","","","","","","","","","","",""
"Latvia","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lebanon","1","0","0","","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","4","3","3","0","0","","","","","","0","0","","","","","","","","","","",""
"Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","","0","","","","0","0","0","0","0","1","0","0","0","0","1","1","3","10","0","","","","","","",""
"Liberia","22","6","2","0","0","12","3","4","4","8","13","22","13","1","40","21","43","152","174","166","84","74","24","59","119","38","","","","","","","","","","","","207","","","","","",""
"Libya","","","","","","0","","","0","0","0","0","0","","","0","0","","","0","0","0","","0","0","3","3","1","7","10","10","8","15","0","10","","","","","","","","",""
"Lithuania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Luxembourg","0","0","0","","","","","","0","0","0","0","","0","0","","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madagascar","17","27","13","7","8","9","43","6","6","8","10","5","34","7","6","6","18","13","26","39","46","61","7","6","20","17","32","208","183","234","","","","","","","","","","","","","",""
"Malawi","3","2","2","1","7","1","8","4","7","5","7","6","6","11","7","7","15","12","6","1","8","1","6","14","37","84","","211","","","196","327","391","274","405","358","395","163","","","","","",""
"Malaysia","16","6","16","8","6","9","3","10","5","13","14","11","6","14","8","4","8","20","10","13","11","9","12","9","20","28","13","11","21","15","40","51","49","64","36","47","38","60","53","80","86","76","108","171"
"Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","","","0","0","0","0","4","1","3","1","","56","0","0","0","0","0","0","0","0","","","","","","",""
"Mali","7","8","8","13","12","10","11","7","13","6","19","17","20","25","37","37","34","73","29","31","9","37","33","28","40","73","171","203","230","","","","455","","","","","","","","","","",""
"Malta","0","0","0","0","","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marshall Islands","","","","","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","3","2","2","6","","0","","1","1","2","0","0","","2","4","4","8","","9","11","1","","1","1","0","6","26","16","20","34","44","120","99","58","","","","","","","","","",""
"Mauritius","0","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","7","2","4","","","","","",""
"Mexico","1","2","0","1","0","0","1","3","0","1","4","4","1","4","4","0","6","9","7","25","44","64","67","83","98","137","152","145","87","108","84","57","0","0","0","0","0","0","0","0","","","",""
"Micronesia (Federated States of)","0","0","0","0","","","","","0","","0","0","0","0","1","","0","0","0","0","0","","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mongolia","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Montenegro","","0","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","","","","","1","4","4","7","1","8","4","4","","7","5","5","3","2","9","6","4","14","14","9","9","23","21","28","43","72","147","131","104","120","103","95","3","","","","","","",""
"Mozambique","0","","271","","59","","47","72","41","11","17","17","26","9","24","8","36","42","32","43","52","37","19","56","45","45","59","34","68","71","67","82","120","74","107","178","165","101","166","229","173","254","",""
"Myanmar","20","21","30","32","39","29","32","19","34","25","49","41","39","49","48","72","","41","86","75","20","41","31","71","105","113","190","27","58","57","64","72","96","100","119","123","136","124","149","166","194","185","211","158"
"Namibia","1","0","0","4","2","3","5","10","7","11","15","1","8","6","11","8","7","10","12","6","27","20","75","9","12","44","","","","","","","","","","","","","","","","","",""
"Nauru","","","","","","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","","0","","","","","4","0","","","","","","","","","","","","","","",""
"Nepal","7","7","266","57","87","32","95","13","18","53","32","42","29","27","51","92","327","134","","197","462","254","511","4","20","7","8","0","3","50","49","58","79","92","43","39","48","","","","","","",""
"Netherlands","","","1","0","0","0","0","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"New Zealand","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","4","4","7","9","11","15","17","26","32","28","30","75","102","111","30","157","0","0","","","",""
"Niger","7","7","8","4","1","3","11","13","14","16","23","21","26","43","37","32","39","55","30","27","33","40","61","28","46","56","74","39","","299","285","222","115","154","210","251","311","","","","","","",""
"Nigeria","187","34","53","104","468","110","82","176","90","721","163","1667","1903","777","","752","1441","1643","","1871","656","1117","388","693","1879","896","1103","1060","498","","","","","","","","","","","","","","",""
"Niue","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Norway","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"Oman","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","8","11","11","5","10","","","","","","","","",""
"Pakistan","478","","667","","898","320","505","508","781","809","586","548","518","551","812","935","1107","1380","1555","1918","2053","2012","1580","1842","1685","1737","1430","1067","1449","1971","2300","1064","576","535","881","907","775","1085","547","557","410","210","",""
"Palau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Panama","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","1","2","2","3","6","5","9","7","7","12","12","8","15","20","23","19","0","0","","","",""
"Papua New Guinea","0","0","0","0","27","32","56","32","125","","","58","50","50","54","71","75","138","52","47","52","","134","159","177","163","0","","0","0","","","","","","","","","","","","","",""
"Paraguay","0","0","0","0","0","1","0","2","1","1","0","2","2","5","4","8","8","7","10","13","20","10","16","20","29","18","33","38","37","55","59","59","76","81","114","113","104","99","0","0","","","",""
"Peru","0","1","2","1","1","0","1","5","1","2","4","4","2","4","11","8","8","10","12","14","36","46","94","130","120","140","89","93","183","143","138","89","72","214","200","229","264","294","0","0","","","",""
"Philippines","82","85","72","92","77","131","166","126","172","132","121","161","177","250","239","163","283","281","332","50","338","","288","336","455","347","224","291","254","1115","1042","1210","1244","1200","1043","1095","1022","1506","1643","2620","3724","3190","3409","2658"
"Poland","0","0","","","0","0","","0","0","","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","","1"
"Portugal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","2","0","0","0","0","1","0","0","0","0","3","3","0","0","2","6","9","12","20","23","28","53","63"
"Qatar","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","0","","","",""
"Republic of Korea","0","0","0","0","0","0","0","0","","","","0","","","","","","","","0","0","0","","","","","","0","0","0","","","","","","","","","","","","","",""
"Republic of Moldova","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Romania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","3","1","1","1","0","1","1","2","0","","","","","","","","","",""
"Russian Federation","","","0","0","0","0","0","","","0","0","","","","","0","0","0","40","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Rwanda","1","2","","0","0","0","0","0","0","1","1","2","4","3","0","18","18","5","0","","0","1","1","0","7","2","1","1","40","100","85","78","","","","","","","","","","","",""
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Samoa","0","","","","","0","0","0","0","","","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","","",""
"San Marino","0","0","","","","0","0","0","0","","0","0","0","0","0","","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","",""
"Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","1","0","3","3","0","0","0","4","","4","8","8","5","0","0","0","0","","","","","","",""
"Saudi Arabia","","3","1","2","10","14","14","4","10","13","21","18","22","37","31","28","27","","","10","26","28","25","33","35","15","12","13","29","33","35","25","","","","","","","","","","","",""
"Senegal","3","13","5","4","4","14","21","12","16","16","28","20","13","26","33","38","45","0","5","16","16","22","","24","63","52","100","67","80","91","17","","","","","704","","","","","","","",""
"Serbia","0","0","","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","","3","0","","4","1","1","9","0","2","0","0","8","6","12","15","25","11","17","20","31","37","59","67","63"
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"Sierra Leone","43","6","11","","9","23","56","5","12","12","8","15","10","11","93","200","38","36","","","0","","25","55","82","61","","26","","12","45","54","583","601","663","692","577","","","","","","",""
"Singapore","0","","","","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","1","3","1","1","2","0","1","0","4","3","6"
"Slovakia","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Slovenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Solomon Islands","0","","","","0","0","0","0","0","0","0","1","2","0","0","0","0","","","0","1","1","3","0","1","3","3","4","4","2","0","0","","","","","","","","","","","",""
"Somalia","","","","","182","224","233","74","53","","31","","","","","","","966","","99","","102","","","","","","","946","159","63","22","41","58","60","","","","","","","","",""
"South Africa","","","2","2","0","1","3","","1","1","3","10","3","8","10","6","10","11","2","6","9","9","9","19","32","13","44","58","71","105","157","82","136","149","176","136","214","166","175","152","93","218","216","140"
"South Sudan","0","","0","0","25","48","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","","","","","","","14","10","","0","","14","","","","",""
"Sri Lanka","0","0","0","0","0","0","0","1","0","1","0","2","0","1","1","2","3","1","8","4","8","7","7","9","11","14","10","5","9","39","37","49","76","123","70","182","219","339","423","874","821","642","812","809"
"Sudan","60","62","","133","88","128","168","260","148","172","172","115","94","88","112","97","99","88","66","53","95","40","21","70","71","150","","28","","","","2050","18","","","","92","90","61","","","","24",""
"Suriname","0","","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","","","",""
"Sweden","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"Switzerland","","","","","","","","","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"Syrian Arab Republic","1","2","1","","0","1","2","5","4","4","6","3","5","8","11","16","18","15","23","32","45","61","106","74","74","82","50","55","90","116","140","192","124","151","100","144","85","91","","","","100","178",""
"Tajikistan","0","","","","0","0","0","0","0","0","0","","","","0","0","0","","0","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Thailand","0","0","0","2","2","4","1","3","1","3","4","3","6","11","6","9","11","17","25","20","25","32","38","68","67","120","166","212","286","325","414","508","564","548","566","677","630","664","753","886","778","699","629","536"
"The former Yugoslav republic of Macedonia","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","1","","","","","","","","","","","","","","","","",""
"Timor-Leste","1","1","0","0","1","4","2","7","2","1","4","9","6","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","16","11","12","18","26","20","28","28","17","5","18","15","10","8","28","42","29","33","41","39","14","27","13","32","7","27","24","42","97","64","143","101","118","115","117","139","237","217","","","","","",""
"Tonga","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Tunisia","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","2","2","3","4","4","7","7","3","7","8","9","13","21","37","25","33","45","44","34","36","13","12","31","","","",""
"Turkey","0","0","0","1","0","0","0","2","0","7","5","18","32","15","41","32","32","26","","30","33","61","63","51","46","29","68","67","63","51","46","66","41","","","","","","","","","","",""
"Turkmenistan","","","","","","","0","","","","","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","","","0","0","0","0","","","","","","","","","","","",""
"Uganda","16","73","136","84","406","149","207","98","151","100","102","143","107","152","316","611","520","470","209","583","158","167","307","523","","605","","129","110","144","","","","","","","","","","","","","",""
"Ukraine","","","","","","","0","","","0","0","0","","","0","0","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"United Arab Emirates","","","","0","","0","","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","6","8","5","7","7","3","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United Republic of Tanzania","","","","2","0","0","0","5","6","6","18","11","7","19","14","32","41","48","40","34","21","19","29","25","53","91","114","28","1078","","274","326","158","83","","","421","652","908","","","","",""
"United States of America","","","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","","","","","","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","","","",""
"Uruguay","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","2","0","0","3","2"
"Uzbekistan","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Vanuatu","","","","","","","0","0","0","0","0","0","0","","3","2","1","0","6","","0","2","0","0","1","0","0","0","2","1","1","0","2","0","0","2","2","3","","","3","2","",""
"Venezuela (Bolivarian Republic of)","1","2","0","2","1","1","3","2","1","0","1","4","2","0","0","4","0","2","4","7","7","14","18","14","27","29","35","28","46","43","53","59","70","77","101","132","143","129","111","141","135","207","281","227"
"Viet Nam","52","32","47","34","46","39","32","35","33","34","36","27","35","46","76","95","104","142","219","266","257","257","330","422","333","187","334","313","","","","","","","","","","","","","","","",""
"Yemen","0","","117","","66","80","38","93","30","46","48","101","46","50","84","122","121","174","131","","","","12","3","8","21","","","19","48","49","16","61","119","139","73","31","7","20","","","","",""
"Zambia","26","0","0","","0","0","0","0","0","13","0","37","29","33","41","102","39","130","161","","34","15","24","21","29","5","6","57","","196","270","388","","147","","","","","","","","","",""
"Zimbabwe","3","0","4","0","4","6","7","1","4","1","5","2","5","6","4","9","13","16","12","7","12","5","18","24","12","23","28","16","58","21","67","358","218","245","85","428","118","134","161","180","","","",""
